County,AmInd Rep,AmInd Dem,AmInd OP,AmInd Total,Asian Rep,Asian Dem,Asian OP,Asian Total,Black Rep,Black Dem,Black OP,Black Total,His Rep,His Dem,His OP,His Total,"White Rep",White Dem,"White OP",White Total,Other Rep,Other Dem,Other OP,Other Total,MR Rep,MR Dem,MR OP,MR Total,Unknown Rep,Unknown Dem,Unknown OP,Unknown Total,Total Rep,Total Dem,Total OP,Total Total
Alachua,191,293,186,670,858,"1,920",2122,4900,858,"23,407",3382,27647,"2,145","3,968",3228,9341,"41,383","47,078",24763,113224,"1,134","2,663",3006,6803,80,273,250,603,232,559,933,1724,"46,881","80,161",37870,164912
Baker,32,18,6,56,28,28,8,64,31,"1,199",57,1287,49,26,33,108,"5,830","5,348",1064,12242,66,85,27,178,1,1,7,9,17,19,26,62,"6,054","6,724",1228,14006
Bay,309,195,139,643,775,338,452,1565,620,"8,144",1358,10122,837,583,592,2012,"52,720","24,952",17721,95393,444,396,378,1218,66,70,96,232,577,411,742,1730,"56,348","35,089",21478,112915
Bradford,18,10,8,36,30,26,16,72,90,"1,855",142,2087,42,57,41,140,"5,999","5,318",1567,12884,56,85,51,192,3,6,1,10,9,23,38,70,"6,247","7,380",1864,15491
Brevard,596,550,384,1530,"1,984","1,564",1937,5485,"1,448","25,629",4339,31416,"4,898","7,324",5174,17396,"150,484","92,731",70972,314187,"1,773","2,187",1994,5954,137,313,332,782,708,"1,225",1786,3719,"162,028","131,523",86918,380469
Broward,700,"1,825",1117,3642,"4,492","10,749",10582,25823,"8,226","210,550",36259,255035,"44,083","84,207",64271,192561,"193,592","257,383",145551,596526,"6,859","19,853",19850,46562,281,"1,886",1258,3425,"1,187","7,062",8631,16880,"259,420","593,515",287519,1140454
Calhoun,17,59,8,84,5,19,7,31,13,720,36,769,18,40,13,71,"1,556","5,048",600,7204,9,39,18,66,2,1,2,5,9,25,14,48,"1,629","5,951",698,8278
Charlotte,168,154,126,448,349,236,364,949,247,"3,692",787,4726,783,"1,305",879,2967,"47,309","28,925",26491,102725,873,847,746,2466,23,36,28,87,148,235,299,682,"49,900","35,430",29720,115050
Citrus,113,114,81,308,392,260,371,1023,125,"1,752",353,2230,650,953,593,2196,"40,714","28,710",21127,90551,663,695,733,2091,15,13,23,51,49,60,80,189,"42,721","32,557",23361,98639
Clay,307,136,137,580,"1,502",600,984,3086,920,"8,723",2169,11812,"2,065","1,886",1960,5911,"67,051","19,503",20854,107408,"1,002",573,759,2334,54,63,79,196,373,319,566,1258,"73,274","31,803",27508,132585
Collier,119,90,69,278,476,311,471,1258,315,"4,948",1135,6398,"4,797","6,296",5058,16151,"86,170","31,678",34635,152483,867,679,850,2396,59,81,93,233,264,424,675,1363,"93,067","44,507",42986,180560
Columbia,63,69,32,164,96,82,97,275,168,"4,522",374,5064,296,268,228,792,"13,608","10,766",4381,28755,75,116,84,275,5,12,13,30,39,61,84,184,"14,350","15,896",5293,35539
Desoto,24,21,7,52,25,32,29,86,45,"1,559",178,1782,186,609,453,1248,"4,440","6,207",2297,12944,44,125,79,248,2,8,3,13,0,2,1,3,"4,766","8,563",3047,16376
Dixie,9,19,13,41,9,15,2,26,16,421,20,457,29,36,23,88,"2,706","5,628",1201,9535,16,28,37,81,0,0,0,0,0,1,0,1,"2,785","6,148",1296,10229
Duval,761,799,500,2060,"5,930","3,592",5907,15429,"5,508","131,283",18580,155371,"6,058","7,919",7270,21247,"184,145","88,214",69999,342358,"2,949","4,030",4090,11069,177,442,400,1019,"1,520","2,833",4376,8729,"207,048","239,112",111122,557282
Escambia,604,381,281,1266,"1,931",824,1320,4075,"1,640","32,550",4768,38958,"1,251",984,1048,3283,"80,303","37,021",27062,144386,"1,241","1,052",1019,3312,100,137,150,387,691,574,1343,2608,"87,761","73,523",36991,198275
Flagler,88,71,62,221,345,289,439,1073,277,"5,266",1074,6617,786,"1,646",1107,3539,"23,585","16,125",15305,55015,514,855,738,2107,24,39,43,106,117,263,539,919,"25,736","24,554",19307,69597
Franklin,8,9,3,20,3,11,2,16,9,506,20,535,10,29,7,46,"1,628","4,275",634,6537,2,0,5,7,0,1,3,4,2,1,6,9,"1,662","4,832",680,7174
Gadsden,22,45,14,81,28,33,27,88,268,"15,854",664,16786,76,347,110,533,"3,614","6,391",1290,11295,68,344,118,530,3,5,8,16,30,152,114,296,"4,109","23,171",2345,29625
Gilchrist,11,11,11,33,15,19,8,42,17,213,22,252,73,46,31,150,"5,035","4,009",1462,10506,41,35,40,116,2,3,2,7,5,3,7,15,"5,199","4,339",1583,11121
Glades,21,129,37,187,7,9,4,20,11,411,23,445,92,231,112,435,"1,847","2,802",860,5509,17,36,17,70,0,1,0,1,0,0,1,1,"1,995","3,619",1054,6668
Gulf,17,18,6,41,8,12,6,26,31,876,44,951,24,28,6,58,"3,173","3,978",711,7862,19,25,13,57,0,0,0,0,9,11,15,35,"3,281","4,948",801,9030
Hamilton,6,6,2,14,15,4,15,34,71,"2,154",144,2369,42,70,41,153,"1,696","3,057",596,5349,9,14,17,40,1,0,2,3,0,1,0,1,"1,840","5,306",817,7963
Hardee,12,14,7,33,23,50,30,103,41,704,74,819,522,"1,114",492,2128,"3,751","4,120",1045,8916,72,105,56,233,4,9,2,15,16,20,29,65,"4,441","6,136",1735,12312
Hendry,41,131,53,225,24,44,27,95,80,"2,317",191,2588,"1,094","1,724",872,3690,"4,302","4,453",1460,10215,102,210,116,428,6,11,6,23,0,0,0,0,"5,649","8,890",2725,17264
Hernando,158,158,136,452,288,314,284,886,266,"4,087",628,4981,"1,861","4,148",1977,7986,"45,757","35,401",24454,105612,541,679,683,1903,23,48,39,110,170,279,967,1416,"49,064","45,114",29168,123346
Highlands,84,112,43,239,218,131,216,565,241,"4,190",514,4945,"1,453","2,622",1537,5612,"25,057","15,708",8709,49474,278,315,207,800,12,26,21,59,69,131,182,382,"27,412","23,235",11429,62076
Hillsborough,809,935,697,2441,"4,303","5,029",7400,16732,"4,408","94,025",18038,116471,"21,535","47,818",35527,104880,"208,242","148,175",115576,471993,"1,735","2,965",2394,7094,289,"1,130",1004,2423,"3,972","8,155",13426,25553,"245,293","308,232",194062,747587
Holmes,37,39,11,87,16,17,2,35,21,181,30,232,26,42,14,82,"3,986","5,999",1043,11028,14,26,18,58,3,2,1,6,6,12,14,32,"4,109","6,318",1133,11560
Indian River,118,87,82,287,240,169,259,668,308,"5,022",793,6123,880,"1,382",1252,3514,"42,134","19,535",18431,80100,534,444,516,1494,22,39,35,96,237,315,735,1287,"44,473","26,993",22103,93569
Jackson,52,70,23,145,23,40,27,90,218,"6,052",340,6610,105,96,70,271,"7,887","11,321",2094,21302,84,217,67,368,4,4,3,11,42,80,84,206,"8,415","17,880",2708,29003
Jefferson,6,8,6,20,5,15,4,24,32,"2,920",85,3037,25,31,13,69,"2,336","3,239",708,6283,9,46,27,82,1,1,0,2,0,0,0,0,"2,414","6,260",843,9517
Lafayette,2,3,1,6,3,0,1,4,11,223,9,243,36,39,19,94,"1,140","2,829",235,4204,4,7,5,16,0,1,0,1,0,0,0,0,"1,196","3,102",270,4568
Lake,218,190,147,555,656,822,816,2294,965,"13,145",2072,16182,"3,066","6,399",4332,13797,"83,220","44,808",35369,163397,900,"1,415",1244,3559,59,139,123,321,228,566,753,1547,"89,312","67,484",44856,201652
Lee,407,348,325,1080,994,"1,068",1422,3484,"1,084","16,446",3797,21327,"6,887","12,959",10731,30577,"157,650","80,413",82822,320885,498,706,690,1894,89,227,263,579,"2,578","2,671",3872,9121,"170,187","114,838",103922,388947
Leon,175,278,153,606,545,"1,204",1115,2864,"1,253","46,253",5768,53274,"1,587","2,827",1957,6371,"47,540","49,647",21569,118756,753,"1,893",1579,4225,101,394,254,749,350,"1,145",2234,3729,"52,304","103,641",34629,190574
Levy,18,20,18,56,32,46,30,108,103,"1,813",161,2077,186,308,176,670,"9,835","8,096",3680,21611,131,226,159,516,3,3,9,15,0,0,0,0,"10,308","10,512",4233,25053
Liberty,5,34,1,40,1,8,1,10,8,385,16,409,8,20,4,32,433,"3,260",206,3899,0,6,7,13,0,0,0,0,0,3,4,7,455,"3,716",239,4410
Madison,9,24,6,39,12,8,8,28,92,"3,897",200,4189,35,45,32,112,"2,413","4,001",853,7267,33,159,46,238,1,3,3,7,24,54,43,121,"2,619","8,191",1191,12001
Manatee,208,211,136,555,858,641,930,2429,584,"11,559",1941,14084,"2,139","4,137",3373,9649,"85,090","50,066",42675,177831,716,717,1034,2467,48,125,120,293,405,636,1119,2160,"90,048","68,092",51328,209468
Marion,286,277,191,754,646,637,599,1882,945,"19,002",2163,22110,"3,362","6,782",3410,13554,"89,333","53,967",37085,180385,825,"1,263",897,2985,57,140,113,310,249,547,702,1498,"95,703","82,615",45160,223478
Martin,123,65,62,250,234,188,261,683,428,"2,842",483,3753,"1,080","1,321",1082,3483,"49,424","22,132",20455,92011,296,257,359,912,20,32,52,104,105,166,368,639,"51,710","27,003",23122,101835
Miami-Dade,420,"1,343",667,2430,"2,376","5,597",6239,14212,"7,589","211,062",31420,250071,"272,897","217,122",219426,709445,"84,197","113,703",69503,267403,"1,364","3,264",2678,7306,208,"1,148",979,2335,"9,406","20,426",30816,60648,"378,457","573,665",361728,1313850
Monroe,70,103,66,239,105,118,164,387,109,"1,336",353,1798,"1,716","1,579",1277,4572,"16,956","14,061",12212,43229,24,35,50,109,12,19,29,60,237,330,563,1130,"19,229","17,581",14714,51524
Nassau,95,50,46,191,120,69,111,300,142,"2,588",286,3016,279,177,195,651,"27,112","10,891",7986,45989,354,445,183,982,18,17,21,56,122,102,198,422,"28,242","14,339",9026,51607
Okaloosa,394,126,144,664,"1,608",499,943,3050,"1,039","7,294",1943,10276,"1,505","1,042",1181,3728,"69,323","17,875",20371,107569,949,436,569,1954,112,78,161,351,345,277,651,1273,"75,275","27,627",25963,128865
Okeechobee,26,40,18,84,28,48,37,113,38,830,85,953,372,715,437,1524,"6,525","7,013",2439,15977,82,138,123,343,1,5,11,17,22,38,114,174,"7,094","8,827",3264,19185
Orange,602,"1,062",619,2283,"6,095","7,280",9031,22406,"4,363","98,874",18473,121710,"22,940","68,957",50739,142636,"163,447","102,325",90714,356486,"1,919","5,153",4052,11124,406,"1,462",1210,3078,"4,181","10,720",16021,30922,"203,953","295,833",190859,690645
Osceola,157,222,152,531,715,"1,202",1118,3035,633,"10,883",2489,14005,"9,003","33,234",23193,65430,"31,939","22,449",18366,72754,806,"1,952",1632,4390,56,264,215,535,279,991,1434,2704,"43,588","71,197",48599,163384
Palm Beach,579,983,633,2195,"2,620","4,672",5847,13139,"4,038","92,034",17534,113606,"16,660","34,675",27062,78397,"218,914","239,451",165346,623711,761,"2,126",1858,4745,191,766,732,1689,"5,033","11,939",15732,32704,"248,796","386,646",234744,870186
Pasco,419,389,363,1171,"1,335","1,256",1703,4294,708,"9,106",2185,11999,"4,967","9,569",6532,21068,"111,065","84,624",67074,262763,"1,725","1,915",2265,5905,61,194,230,485,389,861,1387,2637,"120,669","107,914",81739,310322
Pinellas,653,855,581,2089,"3,538","3,512",5152,12202,"2,022","44,163",7643,53828,"5,232","10,449",7939,23620,"210,631","167,528",136913,515072,"2,604","3,771",4409,10784,164,616,464,1244,"1,166","2,431",3912,7509,"226,010","233,325",167013,626348
Polk,407,452,309,1168,"1,037","1,182",1570,3789,"1,649","38,254",5785,45688,"6,449","15,433",12212,34094,"118,725","80,034",53577,252336,286,658,489,1433,115,231,235,581,"2,355","3,619",6056,12030,"131,023","139,863",80233,351119
Putnam,78,90,52,220,48,72,56,176,194,"5,557",511,6262,274,707,390,1371,"13,546","15,221",5817,34584,16,37,24,77,5,21,19,45,180,408,258,846,"14,341","22,113",7127,43581
Santarosa,417,157,149,723,850,310,509,1669,401,"3,526",793,4720,939,585,668,2192,"63,162","21,954",19857,104973,961,452,724,2137,44,29,57,130,137,105,155,397,"66,911","27,118",22912,116941
Sarasota,340,328,284,952,728,679,874,2281,540,"7,880",1451,9871,"1,974","3,497",2532,8003,"116,153","73,330",58506,247989,164,294,256,714,52,125,129,306,"1,942","1,906",3708,7556,"121,893","88,039",67740,277672
Seminole,358,316,265,939,"1,625","1,946",2804,6375,"1,315","21,635",4539,27489,"6,934","14,423",11433,32790,"96,910","51,054",46756,194720,"2,543","2,833",3520,8896,91,313,310,714,791,"1,673",2989,5453,"110,567","94,193",72616,277376
St. Johns,223,114,89,426,841,541,848,2230,409,"5,610",919,6938,"1,473","1,283",1266,4022,"76,976","30,451",28560,135987,868,519,702,2089,56,67,83,206,273,223,455,951,"81,119","38,808",32922,152849
St. Lucie,188,272,130,590,453,706,774,1933,933,"24,088",3838,28859,"2,937","7,254",4596,14787,"50,409","40,386",32419,123214,951,"1,597",1101,3649,34,179,142,355,232,851,1084,2167,"56,137","75,333",44084,175554
Sumter,127,82,49,258,151,81,139,371,142,"2,668",320,3130,361,458,323,1142,"35,744","19,285",13069,68098,275,211,192,678,7,14,9,30,60,72,107,239,"36,867","22,871",14208,73946
Suwannee,36,38,21,95,26,26,24,76,111,"2,240",140,2491,130,196,120,446,"8,566","9,864",2995,21425,116,176,72,364,2,6,1,9,25,43,69,137,"9,012","12,589",3442,25043
Taylor,25,26,6,57,22,80,13,115,36,"1,612",86,1734,49,65,31,145,"3,209","6,359",855,10423,23,32,28,83,1,1,3,5,7,6,10,23,"3,372","8,181",1032,12585
Union,17,9,11,37,4,8,3,15,27,743,31,801,35,48,20,103,"2,269","3,517",539,6325,13,11,5,29,0,2,0,2,0,1,0,1,"2,365","4,339",609,7313
Volusia,334,483,360,1177,745,904,1185,2834,964,"24,141",4440,29545,"3,891","10,485",7784,22160,"105,975","87,644",70613,264232,"1,751","2,411",3536,7698,89,296,241,626,572,"1,410",2302,4284,"114,321","127,774",90461,332556
Wakulla,30,36,21,87,21,27,19,67,45,"1,599",105,1749,59,70,38,167,"5,863","8,014",2401,16278,5,18,8,31,2,7,5,14,19,28,61,108,"6,044","9,799",2658,18501
Walton,114,64,33,211,139,51,84,274,185,"1,049",132,1366,189,138,145,472,"20,559","8,578",6156,35293,241,128,159,528,9,7,14,30,58,45,91,194,"21,494","10,060",6814,38368
Washington,53,55,15,123,27,15,6,48,74,"1,427",93,1594,46,45,21,112,"5,739","5,406",1421,12566,58,86,65,209,1,7,5,13,1,0,2,3,"5,999","7,041",1628,14668
