County,AmInd Rep,AmInd Dem,AmInd OP,AmInd Total,Asian Rep,Asian Dem,Asian OP,Asian Total,Black Rep,Black Dem,Black OP,Black Total,His Rep,His Dem,His OP,His Total,"White Rep",White Dem,"White OP",White Total,Other Rep,Other Dem,Other OP,Other Total,MR Rep,MR Dem,MR OP,MR Total,Unknown Rep,Unknown Dem,,Unknown Total,Total Rep,Total Dem,Total OP,Total Total,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alachua,176,254,156,586,835,1752,2209,4796,768,22313,3564,26645,2046,3721,3388,9155,40019,43474,25272,108765,877,2046,2195,5118,143,451,451,1045,230,504,1004,1738,45094,74515,38239,157848,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baker,33,20,8,61,26,30,9,65,33,1165,51,1249,48,31,34,113,5790,5223,1199,12212,60,78,23,161,4,3,12,19,20,24,24,68,6014,6574,1360,13948,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bay,292,188,148,628,761,333,524,1618,560,8074,1512,10146,851,613,731,2195,52330,23124,19379,94833,381,330,322,1033,134,177,256,567,507,375,734,1616,55816,33214,23606,112636,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bradford,18,13,11,42,30,31,17,78,91,1872,160,2123,44,58,45,147,6149,5072,1778,12999,51,74,48,173,8,11,11,30,12,20,37,69,6403,7151,2107,15661,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brevard,549,495,369,1413,1974,1579,2126,5679,1383,25193,4910,31486,4898,7527,6072,18497,146482,87387,77716,311585,1535,1879,1697,5111,341,636,816,1793,651,1157,1736,3544,157813,125853,95442,379108,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broward,614,1664,1055,3333,4347,10617,11197,26161,7338,199152,36642,243132,42843,82339,68749,193931,173127,223940,139212,536279,6007,17396,17594,40997,679,3663,2992,7334,1114,6348,8454,15916,236069,545119,285895,1067083,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calhoun,20,52,8,80,6,20,8,34,14,720,37,771,21,38,14,73,1734,4827,711,7272,8,31,16,55,4,4,4,12,10,25,17,52,1817,5717,815,8349,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlotte,169,145,133,447,353,266,435,1054,241,3733,912,4886,843,1419,1147,3409,48231,28938,29879,107048,753,723,654,2130,62,122,140,324,146,244,342,732,50798,35590,33642,120030,,,,,,,,,,,,,,,,,,,,,,,,,,,
Citrus,118,94,88,300,403,250,415,1068,128,1728,346,2202,656,985,674,2315,39971,27001,22308,89280,578,568,615,1761,51,65,75,191,50,68,100,218,41955,30759,24621,97335,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clay,315,131,140,586,1510,607,1145,3262,924,9212,2698,12834,2133,1955,2433,6521,66877,18723,23514,109114,904,495,660,2059,131,144,294,569,339,300,564,1203,73133,31567,31448,136148,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collier,115,82,74,271,510,319,573,1402,341,5281,1382,7004,4879,6776,6147,17802,87155,31478,38906,157539,720,567,720,2007,164,178,305,647,252,394,664,1310,94136,45075,48771,187982,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columbia,68,60,31,159,95,82,112,289,151,4510,410,5071,292,272,271,835,13248,10305,5044,28597,67,106,70,243,13,25,31,69,34,88,79,201,13968,15448,6048,35464,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeSoto,24,15,8,47,20,29,33,82,35,1404,166,1605,185,594,493,1272,4106,5330,2299,11735,30,84,56,170,2,12,7,21,0,3,4,7,4402,7471,3066,14939,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dixie,12,22,12,46,10,16,2,28,16,396,23,435,33,37,28,98,2745,5174,1311,9230,16,28,40,84,1,3,1,5,2,3,8,13,2835,5679,1425,9939,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duval,733,788,525,2046,5971,3695,6406,16072,5259,129221,20215,154695,6047,8235,8137,22419,179548,82907,74143,336598,2524,3515,3553,9592,409,922,1112,2443,1362,2509,4422,8293,201853,231792,118513,552158,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escambia,612,393,309,1314,2001,860,1506,4367,1585,32849,5359,39793,1293,1082,1221,3596,80139,35298,29992,145429,1116,924,880,2920,219,281,403,903,824,540,1267,2631,87789,72227,40937,200953,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flagler,84,74,66,224,366,287,482,1135,279,5306,1188,6773,806,1683,1321,3810,23916,15775,17100,56791,441,724,625,1790,61,123,153,337,129,249,597,975,26082,24221,21532,71835,,,,,,,,,,,,,,,,,,,,,,,,,,,
Franklin,5,11,3,19,3,11,3,17,10,502,21,533,12,30,6,48,1752,4078,774,6604,3,0,6,9,1,1,4,6,2,1,7,10,1788,4634,824,7246,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gadsden,18,52,14,84,26,35,32,93,228,15593,721,16542,71,357,139,567,3544,6019,1366,10929,60,301,91,452,3,19,17,39,27,143,114,284,3977,22519,2494,28990,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gilchrist,11,11,12,34,15,17,10,42,14,222,23,259,69,50,43,162,5166,3712,1592,10470,35,29,39,103,4,3,4,11,5,5,8,18,5319,4049,1731,11099,,,,,,,,,,,,,,,,,,,,,,,,,,,
